 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7 pat p30 7 day ctrl 10x 1_colony_1.tiff,260,59.941,19.405,17.060,171.169,0.909,66300,66300,1.137,0.879,0.930
2,7 pat p30 7 day ctrl 10x 1_colony_10.tiff,203,51.941,18.059,14.312,143.831,0.946,51765,51765,1.262,0.793,0.933
3,7 pat p30 7 day ctrl 10x 1_colony_100.tiff,201,52.527,17.600,14.541,54.030,0.915,51255,51255,1.210,0.826,0.922
4,7 pat p30 7 day ctrl 10x 1_colony_101.tiff,250,57.941,19.207,16.573,50.521,0.936,63750,63750,1.159,0.863,0.945
5,7 pat p30 7 day ctrl 10x 1_colony_102.tiff,202,53.355,18.555,13.861,127.039,0.892,51510,51510,1.339,0.747,0.918
6,7 pat p30 7 day ctrl 10x 1_colony_103.tiff,272,60.527,20.042,17.280,125.076,0.933,69360,69360,1.160,0.862,0.941
7,7 pat p30 7 day ctrl 10x 1_colony_104.tiff,194,51.113,16.971,14.555,48.282,0.933,49470,49470,1.166,0.858,0.930
8,7 pat p30 7 day ctrl 10x 1_colony_105.tiff,237,56.770,19.557,15.430,115.491,0.924,60435,60435,1.267,0.789,0.940
9,7 pat p30 7 day ctrl 10x 1_colony_106.tiff,206,54.770,19.642,13.353,52.942,0.863,52530,52530,1.471,0.680,0.918
10,7 pat p30 7 day ctrl 10x 1_colony_107.tiff,220,54.527,18.418,15.209,67.622,0.930,56100,56100,1.211,0.826,0.938
11,7 pat p30 7 day ctrl 10x 1_colony_108.tiff,267,59.841,20.151,16.870,67.947,0.937,68085,68085,1.194,0.837,0.935
12,7 pat p30 7 day ctrl 10x 1_colony_109.tiff,228,55.355,19.057,15.233,42.647,0.935,58140,58140,1.251,0.799,0.936
13,7 pat p30 7 day ctrl 10x 1_colony_11.tiff,222,53.941,17.865,15.822,143.205,0.959,56610,56610,1.129,0.886,0.939
14,7 pat p30 7 day ctrl 10x 1_colony_110.tiff,329,66.426,22.518,18.602,32.151,0.937,83895,83895,1.211,0.826,0.947
15,7 pat p30 7 day ctrl 10x 1_colony_111.tiff,225,55.012,17.916,15.990,18.003,0.934,57375,57375,1.120,0.892,0.926
16,7 pat p30 7 day ctrl 10x 1_colony_112.tiff,249,57.941,19.741,16.060,71.464,0.932,63495,63495,1.229,0.814,0.941
17,7 pat p30 7 day ctrl 10x 1_colony_113.tiff,190,51.698,18.062,13.394,64.214,0.893,48450,48450,1.348,0.742,0.929
18,7 pat p30 7 day ctrl 10x 1_colony_114.tiff,274,60.527,20.858,16.726,67.173,0.940,69870,69870,1.247,0.802,0.948
19,7 pat p30 7 day ctrl 10x 1_colony_115.tiff,221,55.113,19.170,14.679,97.478,0.914,56355,56355,1.306,0.766,0.931
20,7 pat p30 7 day ctrl 10x 1_colony_116.tiff,200,52.284,17.753,14.344,51.822,0.919,51000,51000,1.238,0.808,0.939
21,7 pat p30 7 day ctrl 10x 1_colony_117.tiff,245,59.598,20.430,15.269,46.966,0.867,62475,62475,1.338,0.747,0.916
22,7 pat p30 7 day ctrl 10x 1_colony_118.tiff,217,53.698,17.187,16.076,27.018,0.946,55335,55335,1.069,0.935,0.946
23,7 pat p30 7 day ctrl 10x 1_colony_119.tiff,217,54.770,19.105,14.462,52.037,0.909,55335,55335,1.321,0.757,0.929
24,7 pat p30 7 day ctrl 10x 1_colony_120.tiff,195,51.941,18.176,13.660,37.579,0.908,49725,49725,1.331,0.752,0.931
25,7 pat p30 7 day ctrl 10x 1_colony_121.tiff,235,55.941,19.535,15.317,66.210,0.944,59925,59925,1.275,0.784,0.948
26,7 pat p30 7 day ctrl 10x 1_colony_122.tiff,309,66.669,24.199,16.258,65.368,0.874,78795,78795,1.488,0.672,0.931
27,7 pat p30 7 day ctrl 10x 1_colony_123.tiff,213,53.113,18.387,14.750,66.829,0.949,54315,54315,1.247,0.802,0.949
28,7 pat p30 7 day ctrl 10x 1_colony_124.tiff,216,53.355,18.119,15.179,60.020,0.953,55080,55080,1.194,0.838,0.937
29,7 pat p30 7 day ctrl 10x 1_colony_125.tiff,185,49.698,16.883,13.951,118.166,0.941,47175,47175,1.210,0.826,0.932
30,7 pat p30 7 day ctrl 10x 1_colony_126.tiff,208,53.598,18.089,14.640,32.688,0.910,53040,53040,1.236,0.809,0.922
31,7 pat p30 7 day ctrl 10x 1_colony_127.tiff,259,61.012,22.161,14.881,68.480,0.874,66045,66045,1.489,0.671,0.927
32,7 pat p30 7 day ctrl 10x 1_colony_128.tiff,187,50.770,17.431,13.660,67.730,0.912,47685,47685,1.276,0.784,0.919
33,7 pat p30 7 day ctrl 10x 1_colony_129.tiff,526,85.497,29.399,22.780,111.292,0.904,134130,134130,1.291,0.775,0.949
34,7 pat p30 7 day ctrl 10x 1_colony_130.tiff,201,52.770,18.607,13.754,44.295,0.907,51255,51255,1.353,0.739,0.922
35,7 pat p30 7 day ctrl 10x 1_colony_131.tiff,221,55.355,19.530,14.408,33.795,0.906,56355,56355,1.356,0.738,0.932
36,7 pat p30 7 day ctrl 10x 1_colony_132.tiff,220,53.698,18.229,15.366,87.492,0.959,56100,56100,1.186,0.843,0.946
37,7 pat p30 7 day ctrl 10x 1_colony_133.tiff,211,52.527,17.372,15.464,95.050,0.961,53805,53805,1.123,0.890,0.938
38,7 pat p30 7 day ctrl 10x 1_colony_134.tiff,226,55.355,19.176,15.006,19.436,0.927,57630,57630,1.278,0.783,0.930
39,7 pat p30 7 day ctrl 10x 1_colony_135.tiff,219,54.770,18.627,14.970,54.921,0.917,55845,55845,1.244,0.804,0.934
40,7 pat p30 7 day ctrl 10x 1_colony_136.tiff,181,49.941,15.904,14.490,119.416,0.912,46155,46155,1.098,0.911,0.914
41,7 pat p30 7 day ctrl 10x 1_colony_137.tiff,223,55.941,18.976,14.963,14.608,0.895,56865,56865,1.268,0.789,0.927
42,7 pat p30 7 day ctrl 10x 1_colony_138.tiff,213,55.113,19.823,13.681,81.129,0.881,54315,54315,1.449,0.690,0.932
43,7 pat p30 7 day ctrl 10x 1_colony_139.tiff,240,56.527,19.374,15.772,101.267,0.944,61200,61200,1.228,0.814,0.943
44,7 pat p30 7 day ctrl 10x 1_colony_14.tiff,279,61.113,20.653,17.200,6.384,0.939,71145,71145,1.201,0.833,0.949
45,7 pat p30 7 day ctrl 10x 1_colony_140.tiff,203,51.355,17.669,14.628,33.027,0.967,51765,51765,1.208,0.828,0.940
46,7 pat p30 7 day ctrl 10x 1_colony_141.tiff,213,54.184,19.060,14.229,47.209,0.912,54315,54315,1.340,0.747,0.928
47,7 pat p30 7 day ctrl 10x 1_colony_142.tiff,238,57.113,19.758,15.337,83.352,0.917,60690,60690,1.288,0.776,0.944
48,7 pat p30 7 day ctrl 10x 1_colony_143.tiff,206,52.527,18.110,14.483,50.989,0.938,52530,52530,1.250,0.800,0.932
49,7 pat p30 7 day ctrl 10x 1_colony_144.tiff,200,52.527,18.188,14.001,103.098,0.911,51000,51000,1.299,0.770,0.926
50,7 pat p30 7 day ctrl 10x 1_colony_145.tiff,200,51.355,17.611,14.460,78.859,0.953,51000,51000,1.218,0.821,0.932
51,7 pat p30 7 day ctrl 10x 1_colony_146.tiff,260,59.355,19.704,16.801,47.405,0.927,66300,66300,1.173,0.853,0.937
52,7 pat p30 7 day ctrl 10x 1_colony_147.tiff,263,59.598,20.827,16.078,52.149,0.930,67065,67065,1.295,0.772,0.939
53,7 pat p30 7 day ctrl 10x 1_colony_148.tiff,267,61.012,21.749,15.631,60.838,0.901,68085,68085,1.391,0.719,0.929
54,7 pat p30 7 day ctrl 10x 1_colony_149.tiff,203,52.527,18.765,13.774,26.388,0.925,51765,51765,1.362,0.734,0.940
55,7 pat p30 7 day ctrl 10x 1_colony_15.tiff,213,53.355,18.010,15.058,143.725,0.940,54315,54315,1.196,0.836,0.932
56,7 pat p30 7 day ctrl 10x 1_colony_150.tiff,230,55.941,18.711,15.651,97.416,0.924,58650,58650,1.195,0.836,0.931
57,7 pat p30 7 day ctrl 10x 1_colony_151.tiff,294,62.770,20.804,17.993,58.483,0.938,74970,74970,1.156,0.865,0.942
58,7 pat p30 7 day ctrl 10x 1_colony_152.tiff,253,58.527,20.367,15.816,89.170,0.928,64515,64515,1.288,0.777,0.939
59,7 pat p30 7 day ctrl 10x 1_colony_153.tiff,272,61.012,20.614,16.800,52.992,0.918,69360,69360,1.227,0.815,0.933
60,7 pat p30 7 day ctrl 10x 1_colony_154.tiff,216,53.941,18.876,14.570,72.139,0.933,55080,55080,1.296,0.772,0.935
61,7 pat p30 7 day ctrl 10x 1_colony_155.tiff,392,73.012,24.531,20.346,73.478,0.924,99960,99960,1.206,0.829,0.949
62,7 pat p30 7 day ctrl 10x 1_colony_156.tiff,220,55.941,20.234,13.844,85.318,0.883,56100,56100,1.462,0.684,0.928
63,7 pat p30 7 day ctrl 10x 1_colony_157.tiff,265,59.355,20.895,16.148,99.694,0.945,67575,67575,1.294,0.773,0.948
64,7 pat p30 7 day ctrl 10x 1_colony_158.tiff,221,55.113,19.280,14.594,99.261,0.914,56355,56355,1.321,0.757,0.936
65,7 pat p30 7 day ctrl 10x 1_colony_159.tiff,192,50.527,17.454,14.006,134.863,0.945,48960,48960,1.246,0.802,0.932
66,7 pat p30 7 day ctrl 10x 1_colony_16.tiff,211,53.355,18.154,14.798,170.223,0.931,53805,53805,1.227,0.815,0.927
67,7 pat p30 7 day ctrl 10x 1_colony_160.tiff,202,52.527,18.512,13.894,78.109,0.920,51510,51510,1.332,0.751,0.933
68,7 pat p30 7 day ctrl 10x 1_colony_161.tiff,327,67.012,22.110,18.831,131.210,0.915,83385,83385,1.174,0.852,0.937
69,7 pat p30 7 day ctrl 10x 1_colony_162.tiff,266,59.598,19.946,16.980,154.544,0.941,67830,67830,1.175,0.851,0.943
70,7 pat p30 7 day ctrl 10x 1_colony_163.tiff,206,52.284,17.500,14.988,88.819,0.947,52530,52530,1.168,0.856,0.945
71,7 pat p30 7 day ctrl 10x 1_colony_164.tiff,279,61.012,20.741,17.127,80.137,0.942,71145,71145,1.211,0.826,0.939
72,7 pat p30 7 day ctrl 10x 1_colony_165.tiff,379,71.841,25.819,18.690,29.645,0.923,96645,96645,1.381,0.724,0.949
73,7 pat p30 7 day ctrl 10x 1_colony_166.tiff,187,49.941,16.200,14.698,109.483,0.942,47685,47685,1.102,0.907,0.926
74,7 pat p30 7 day ctrl 10x 1_colony_167.tiff,273,61.598,21.930,15.850,49.925,0.904,69615,69615,1.384,0.723,0.940
75,7 pat p30 7 day ctrl 10x 1_colony_168.tiff,274,61.355,20.047,17.402,96.724,0.915,69870,69870,1.152,0.868,0.938
76,7 pat p30 7 day ctrl 10x 1_colony_169.tiff,273,61.598,21.291,16.326,64.073,0.904,69615,69615,1.304,0.767,0.932
77,7 pat p30 7 day ctrl 10x 1_colony_170.tiff,629,93.154,30.980,25.851,44.555,0.911,160395,160395,1.198,0.834,0.955
78,7 pat p30 7 day ctrl 10x 1_colony_171.tiff,232,55.941,19.019,15.532,25.227,0.932,59160,59160,1.225,0.817,0.943
79,7 pat p30 7 day ctrl 10x 1_colony_172.tiff,192,51.355,18.208,13.426,54.533,0.915,48960,48960,1.356,0.737,0.925
80,7 pat p30 7 day ctrl 10x 1_colony_173.tiff,206,52.770,18.749,13.990,30.857,0.930,52530,52530,1.340,0.746,0.932
81,7 pat p30 7 day ctrl 10x 1_colony_174.tiff,197,52.184,18.406,13.627,44.081,0.909,50235,50235,1.351,0.740,0.918
82,7 pat p30 7 day ctrl 10x 1_colony_175.tiff,244,57.941,20.307,15.299,29.391,0.913,62220,62220,1.327,0.753,0.944
83,7 pat p30 7 day ctrl 10x 1_colony_176.tiff,212,53.113,18.226,14.810,110.494,0.944,54060,54060,1.231,0.813,0.938
84,7 pat p30 7 day ctrl 10x 1_colony_177.tiff,247,57.355,19.287,16.306,71.930,0.944,62985,62985,1.183,0.845,0.939
